[[-1.57985921e+02 -4.94523250e+01]
 [-1.57081619e+02 -4.90254325e+01]
 [-1.56177317e+02 -4.85985400e+01]
 [-1.55273014e+02 -4.81716475e+01]
 [-1.54368712e+02 -4.77447550e+01]
 [-1.53464409e+02 -4.73178625e+01]
 [-1.52560107e+02 -4.68909700e+01]
 [-1.51655805e+02 -4.64640775e+01]
 [-1.50751502e+02 -4.60371850e+01]
 [-1.49847200e+02 -4.56102925e+01]
 [-1.48942898e+02 -4.51834000e+01]
 [-1.48038595e+02 -4.47565075e+01]
 [-1.47134293e+02 -4.43296150e+01]
 [-1.46229990e+02 -4.39027225e+01]
 [-1.45325688e+02 -4.34758300e+01]
 [-1.44421386e+02 -4.30489375e+01]
 [-1.43517083e+02 -4.26220450e+01]
 [-1.42612781e+02 -4.21951525e+01]
 [-1.41708479e+02 -4.17682600e+01]
 [-1.40804176e+02 -4.13413675e+01]
 [-1.39899874e+02 -4.09144750e+01]
 [-1.38995571e+02 -4.04875825e+01]
 [-1.38091269e+02 -4.00606900e+01]
 [-1.37186967e+02 -3.96337975e+01]
 [-1.36282664e+02 -3.92069050e+01]
 [-1.35378362e+02 -3.87800125e+01]
 [-1.34474060e+02 -3.83531200e+01]
 [-1.33569757e+02 -3.79262275e+01]
 [-1.32665455e+02 -3.74993350e+01]
 [-1.31761152e+02 -3.70724425e+01]
 [-1.30856850e+02 -3.66455500e+01]
 [-1.29952548e+02 -3.62186558e+01]
 [-1.29048247e+02 -3.57917618e+01]
 [-1.28143943e+02 -3.53648721e+01]
 [-1.27239636e+02 -3.49379892e+01]
 [-1.26335329e+02 -3.45111064e+01]
 [-1.25431026e+02 -3.40842146e+01]
 [-1.24526732e+02 -3.36573043e+01]
 [-1.23622449e+02 -3.32303723e+01]
 [-1.22718164e+02 -3.28034432e+01]
 [-1.21813862e+02 -3.23765499e+01]
 [-1.20909527e+02 -3.19497257e+01]
 [-1.20005155e+02 -3.15229814e+01]
 [-1.19100788e+02 -3.10962257e+01]
 [-1.18196484e+02 -3.06693356e+01]
 [-1.17292302e+02 -3.02421878e+01]
 [-1.16388180e+02 -2.98149149e+01]
 [-1.15483498e+02 -2.93888278e+01]
 [-1.14577473e+02 -2.89656055e+01]
 [-1.13669336e+02 -2.85469362e+01]
 [-1.12758567e+02 -2.81340229e+01]
 [-1.11845689e+02 -2.77257914e+01]
 [-1.10931524e+02 -2.73204502e+01]
 [-1.10016877e+02 -2.69161973e+01]
 [-1.09102416e+02 -2.65115228e+01]
 [-1.08188214e+02 -2.61062645e+01]
 [-1.07274157e+02 -2.57006792e+01]
 [-1.06360130e+02 -2.52950253e+01]
 [-1.05446039e+02 -2.48895171e+01]
 [-1.04531877e+02 -2.44841673e+01]
 [-1.03617667e+02 -2.40789256e+01]
 [-1.02703432e+02 -2.36737414e+01]
 [-1.01789194e+02 -2.32685634e+01]
 [-1.00874978e+02 -2.28633364e+01]
